name,number,@name,followers,er,country,domain,potential_reach
Zinebtmk,988,"Zinebtmk
 @zinebtmk",184.9K,2.2%,Morocco,"Fashion and Accessories,  , Lifestyle,  , Styling",55.5K
NOOR,989,"🎀NOOR🎀
 @noor_benomar",184.7K,3.68%,Morocco,"family,  , Celebrity",55.4K
Mosaic Jewels | Canada,990,"Mosaic Jewels | Canada
 @mosaic.jewels",184.4K,-,Morocco,"Home and Garden,  , Parenting,  , Lifestyle",55.3K
Salwa JD'Official,991,"Salwa JD🇲🇦'Official
 @salwa.jd1",183.7K,9.62%,Morocco,"Fashion and Accessories,  , Beauty and Self Care,  , Modeling,  , Lifestyle",55.1K
91,992,"ⓑⓐ9ⓘⓐⓕⓜⓘⓚⓣⓗⓐ1
 @ba9iafmiktha1",183.3K,-,Morocco,"Entertainment and Music,  , Gym,  , Modeling",55K
Moul Lme7laba /   ,993,"Moul Lme7laba / مول المحلبة 🍹
 @moul_lme7laba",183K,0.8%,Morocco,,54.9K
Jamila Elhairech,994,"Jamila Elhairech
 @chhiwat_chef_jamila",183K,0.71%,Morocco,"Food,  , Food and Drink",54.9K
 ,995,"🇲 🇦 🇷 🇸 🇪 🇮 🇱 🇱 🇪 ➖ 🇨 🇮 🇹 🇾
 @marseille_city__13",183K,2.8%,Morocco,,54.9K
Basma Ghandour -  ,996,"Basma Ghandour - بسمة غاند
 @basmaghand",182.7K,0.55%,Morocco,"Beauty,  , Lifestyle",54.8K
Sohaib Abouseir,997,"Sohaib Abouseir
 @sohaibabouseir",182.7K,2.3%,Morocco,Fashion,54.8K
Sammapijama.officiel,998,"Sammapijama.officiel
 @sammapijama.officiel",182.3K,-,Morocco,,54.7K
    ,999,"💕ماشاء الله لاقوة إلا بالله💕
 @marroco_lootshy",181.9K,1.01%,Morocco,Beauty and Self Care,54.6K
Sakina,1000,"Sakina
 @soukaina_ougram",181.9K,0.38%,Morocco,"Fashion and Accessories,  , Beauty and Self Care",54.6K
