name,number,@name,followers,er,country,domain,potential_reach
 ,828,"👑 ماريا
 @kuukiiprincesshk",216.8K,0.88%,Morocco,"Funny,  , News,  , Music",65K
M E D,829,"M E D
 @mohamedafechkou",215.8K,1.53%,Morocco,Food and Drink,64.7K
,830,@safirat_char9,215.6K,0.3%,Morocco,,64.7K
et_,831,"et_🇲🇦مغربي
 @et_maghrebi",215.5K,0.16%,Morocco,Entertainment and Music,64.6K
Jinat Ayadi,832,"Jinat Ayadi
 @tanij_31",215.3K,0.49%,Morocco,,64.6K
Sara El Mokaddem,833,"Sara El Mokaddem
 @saraelmokaddem1",215.1K,0.09%,Morocco,"Fashion and Accessories,  , Lifestyle,  , Modeling",64.5K
__ ,834,"كوكتيل_جمال_الصحرا 🕊
 @cocktail_sahrawi_moritani",214.9K,0.47%,Morocco,,64.5K
Jamila ,835,"Jamila 💫♥️♠️جميلة🍀
 @choyaa_jamila",214.6K,0.5%,Morocco,"Beauty and Self Care,  , Education,  , Business and Finance",64.4K
Mohamed Mouali,836,"Mohamed Mouali
 @photographyphoneix",214.6K,0.72%,Morocco,"Fashion and Accessories,  , Photography,  , Travel,  , Product Showcase",64.4K
Bouchra Beno,837,"Bouchra Beno
 @bouchrabeno",214.3K,1.28%,Morocco,"Food,  , Events,  , Lifestyle",64.3K
    ,838,"𝗗𝘂𝗻𝗶𝗮 𝗕𝗮𝘁𝗺𝗮 𝗚𝗮𝘇𝗮𝗹 𝗔𝗹𝘁𝘂𝗿𝗸 𝗙𝗮𝗻𝘀
 @dunia_batma_gazal_alturk_1",214.1K,1.4%,Morocco,,64.2K
Zakaria El Wardi,839,"Zakaria El Wardi
 @zakaria_elwardi98",213.9K,15.9%,Morocco,Sports,64.2K
Mimis Microblading Produits,840,"Mimis Microblading Produits
 @mimi__microblading",213.6K,0.4%,Morocco,Beauty and Self Care,64.1K
Achraf Haddoumi,841,"Achraf Haddoumi
 @achraf.haddoumi",213.1K,0.77%,Morocco,,63.9K
soukaina,842,"soukaina
 @bouiz_souka",212.8K,0.5%,Morocco,,63.8K
LHARBA TV |  ,843,"LHARBA TV | الهربة تيفي
 @lharba.tv",212.7K,0.35%,Morocco,,63.8K
Fatima Tamanart,844,"Fatima Tamanart
 @fatimatamanart_",212.5K,0.25%,Morocco,Entertainment and Music,63.8K
Salah Eddine Saidi,845,"Salah Eddine Saidi
 @officiel_s.saidi.4",212.5K,4.7%,Morocco,"Sports,  , Coaching,  , Training",63.8K
FRENCH CELEBRITY MAKEUP ARTIST ,846,"FRENCH 🇫🇷CELEBRITY MAKEUP ARTIST 🧿
 @lolabellezza",212.4K,0.06%,Morocco,Beauty,63.7K
Ilham mcCrary,847,"Ilham mcCrary
 @ilham_artistt1",212.3K,1.09%,Morocco,Entertainment and Music,63.7K
   BASSMA,848,"⠀ ⠀ 🇲🇦 BASS«❀»MA┋↬💎
 @5vu",211.9K,0.3%,Morocco,"Fashion,  , Modeling",63.6K
 Ihsane,849,"❤ Ihsane❤
 @ihsanehasanate",211.9K,2.56%,Morocco,,63.6K
